id,resource_id,ts,pp1,pp2,pp3,,curtain_left,curtain_right,date_threedaysago,date_twodaysago,date_yesterday,door_indoors,NaN_times,pp1,pp2,shade_left,shade_right,Temperature_indoor,Temperature_outdoor,time_since_today,ts,window_door
9784,90,2024-10-18T01:05:20,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-64.0,"2024-10-14 08:00:00","0"
9785,91,2024-10-18T01:05:20,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-65.0,"2024-10-14 07:00:00","0"
9786,92,2024-10-18T01:05:20,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-66.0,"2024-10-14 06:00:00","0"
9787,93,2024-10-18T01:05:20,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-67.0,"2024-10-14 05:00:00","0"
9788,94,2024-10-18T01:05:21,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-68.0,"2024-10-14 04:00:00","0"
9789,95,2024-10-18T01:05:21,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-69.0,"2024-10-14 03:00:00","0"
9790,96,2024-10-18T01:05:21,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-70.0,"2024-10-14 02:00:00","0"
9791,97,2024-10-18T01:05:21,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-71.0,"2024-10-14 01:00:00","0"
9792,98,2024-10-18T01:05:21,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-72.0,"2024-10-14 00:00:00","0"
9793,52,2024-10-18T02:05:33,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-49.0,"2024-10-15 23:00:00","0"
9817,53,2024-10-18T03:04:54,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-49.0,"2024-10-15 23:00:00","0"
9841,54,2024-10-18T04:05:02,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-49.0,"2024-10-15 23:00:00","0"
9865,55,2024-10-18T05:05:09,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-49.0,"2024-10-15 23:00:00","0"
9889,56,2024-10-18T06:04:37,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-49.0,"2024-10-15 23:00:00","0"
9913,57,2024-10-18T07:05:39,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-49.0,"2024-10-15 23:00:00","0"
