id,resource_id,ts,pp1,pp2,pp3,curtain_left,curtain_right,date_threedaysago,date_twodaysago,date_yesterday,door_indoors,pp1,pp2,shade_left,shade_right,Temperature_indoor,Temperature_outdoor,time_since_today,ts,window_door
241,1,2024-10-04T19:46:31,,,,"0","0","01/10","02/10","03/10","0","0","0","0","0","0","0","0","2024-10-04 23:00:00","0"
242,2,2024-10-04T19:46:32,,,,"0","0","01/10","02/10","03/10","0","0","0","0","0","0","0","0","2024-10-04 22:00:00","0"
243,3,2024-10-04T19:46:32,,,,"0","0","01/10","02/10","03/10","0","0","0","0","0","0","0","0","2024-10-04 21:00:00","0"
244,4,2024-10-04T19:46:33,,,,1.0,1,"01/10","02/10","03/10",0.0,3.6,26.2,1.0,1,21.5,13.3,20.0,"2024-10-04 20:00:00",0.0
245,5,2024-10-04T19:46:33,,,,1.0,1,"01/10","02/10","03/10",0.0,3.6,26.2,1.0,1,21.5,13.3,19.0,"2024-10-04 19:00:00",0.0
246,6,2024-10-04T19:46:34,,,,1.0,1,"01/10","02/10","03/10",1.0,3.6,26.2,0.0,0,21.5,14.4,18.0,"2024-10-04 18:00:00",0.0
247,7,2024-10-04T19:46:34,,,,1.0,1,"01/10","02/10","03/10",1.0,3.6,26.2,0.0,0,22.1,14.8,17.0,"2024-10-04 17:00:00",0.0
248,8,2024-10-04T19:46:35,,,,1.0,1,"01/10","02/10","03/10",1.0,3.6,26.2,0.0,0,22.5,14.8,16.0,"2024-10-04 16:00:00",0.0
249,9,2024-10-04T19:46:35,,,,1.0,1,"01/10","02/10","03/10",0.0,3.6,26.2,0.0,0,23.1,14.6,15.0,"2024-10-04 15:00:00",0.0
250,10,2024-10-04T19:46:36,,,,1.0,1,"01/10","02/10","03/10",0.0,3.6,26.2,0.0,0,22.4,14.4,14.0,"2024-10-04 14:00:00",0.0
251,11,2024-10-04T19:46:36,,,,1.0,1,"01/10","02/10","03/10",0.0,3.6,26.2,0.0,0,21.4,14.0,13.0,"2024-10-04 13:00:00",0.0
252,12,2024-10-04T19:46:37,,,,1.0,1,"01/10","02/10","03/10",0.0,3.6,26.2,0.0,0,22.2,12.6,12.0,"2024-10-04 12:00:00",0.0
253,13,2024-10-04T19:46:37,,,,1.0,1,"01/10","02/10","03/10",1.0,3.6,26.2,0.0,0,21.7,10.5,11.0,"2024-10-04 11:00:00",0.0
254,14,2024-10-04T19:46:38,,,,1.0,1,"01/10","02/10","03/10",0.0,3.6,26.2,0.0,0,20.6,8.0,10.0,"2024-10-04 10:00:00",0.0
255,15,2024-10-04T19:46:38,,,,1.0,1,"01/10","02/10","03/10",1.0,3.6,26.2,1.0,1,19.3,5.6,9.0,"2024-10-04 09:00:00",0.0
256,16,2024-10-04T19:46:39,,,,0.0,1,"01/10","02/10","03/10",0.0,3.6,26.2,1.0,1,19.3,4.3,8.0,"2024-10-04 08:00:00",0.0
257,17,2024-10-04T19:46:39,,,,0.0,1,"01/10","02/10","03/10",0.0,3.6,26.2,1.0,1,19.5,5.0,7.0,"2024-10-04 07:00:00",0.0
258,18,2024-10-04T19:46:40,,,,0.0,1,"01/10","02/10","03/10",0.0,3.6,26.2,1.0,1,19.6,5.0,6.0,"2024-10-04 06:00:00",0.0
259,19,2024-10-04T19:46:40,,,,0.0,1,"01/10","02/10","03/10",0.0,3.6,26.2,1.0,1,19.2,6.0,5.0,"2024-10-04 05:00:00",0.0
260,20,2024-10-04T19:46:41,,,,0.0,1,"01/10","02/10","03/10",0.0,3.6,26.2,1.0,1,19.3,6.9,4.0,"2024-10-04 04:00:00",0.0
261,21,2024-10-04T19:46:41,,,,0.0,1,"01/10","02/10","03/10",0.0,3.6,26.2,1.0,1,20.0,7.8,3.0,"2024-10-04 03:00:00",0.0
262,22,2024-10-04T19:46:42,,,,0.0,0,"01/10","02/10","03/10",0.0,3.6,26.2,1.0,1,20.2,7.8,2.0,"2024-10-04 02:00:00",0.0
263,23,2024-10-04T19:46:42,,,,0.0,0,"01/10","02/10","03/10",0.0,3.6,26.2,1.0,1,20.3,8.4,1.0,"2024-10-04 01:00:00",0.0
264,24,2024-10-04T19:46:43,,,,0.0,0,"01/10","02/10","03/10",0.0,3.6,26.2,1.0,1,20.4,8.5,0.0,"2024-10-04 00:00:00",0.0
