id,resource_id,ts,pp1,pp2,pp3,,curtain_left,curtain_right,date_threedaysago,date_twodaysago,date_yesterday,door_indoors,NaN_times,pp1,pp2,shade_left,shade_right,Temperature_indoor,Temperature_outdoor,time_since_today,ts,window_door
9842,66,2024-10-18T01:05:16,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-40.0,"2024-10-15 08:00:00","0"
9843,67,2024-10-18T01:05:16,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-41.0,"2024-10-15 07:00:00","0"
9844,68,2024-10-18T01:05:17,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-42.0,"2024-10-15 06:00:00","0"
9845,69,2024-10-18T01:05:17,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-43.0,"2024-10-15 05:00:00","0"
9846,70,2024-10-18T01:05:17,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-44.0,"2024-10-15 04:00:00","0"
9847,71,2024-10-18T01:05:17,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-45.0,"2024-10-15 03:00:00","0"
9848,72,2024-10-18T01:05:17,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-46.0,"2024-10-15 02:00:00","0"
9849,73,2024-10-18T01:05:18,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-47.0,"2024-10-15 01:00:00","0"
9850,74,2024-10-18T01:05:18,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-48.0,"2024-10-15 00:00:00","0"
9851,28,2024-10-18T02:05:27,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
9875,29,2024-10-18T03:04:52,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
9899,30,2024-10-18T04:05:00,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
9923,31,2024-10-18T05:05:06,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
9947,32,2024-10-18T06:04:35,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
9971,33,2024-10-18T07:05:36,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
9995,34,2024-10-18T08:05:14,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
10019,35,2024-10-18T09:04:48,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
10043,36,2024-10-18T10:05:00,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
10067,37,2024-10-18T11:05:20,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
10091,38,2024-10-18T12:04:55,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
10115,39,2024-10-18T13:04:40,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
10139,40,2024-10-18T14:04:48,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
10163,41,2024-10-18T15:04:10,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
10187,42,2024-10-18T16:04:16,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-25.0,"2024-10-16 23:00:00","0"
10188,43,2024-10-18T16:04:17,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-26.0,"2024-10-16 22:00:00","0"
10189,44,2024-10-18T16:04:17,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-27.0,"2024-10-16 21:00:00","0"
10190,45,2024-10-18T16:04:17,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-28.0,"2024-10-16 20:00:00","0"
10191,46,2024-10-18T16:04:17,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-29.0,"2024-10-16 19:00:00","0"
10192,47,2024-10-18T16:04:17,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-30.0,"2024-10-16 18:00:00","0"
10193,48,2024-10-18T16:04:17,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-31.0,"2024-10-16 17:00:00","0"
10194,49,2024-10-18T16:04:17,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-32.0,"2024-10-16 16:00:00","0"
10195,50,2024-10-18T16:04:17,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-33.0,"2024-10-16 15:00:00","0"
10196,51,2024-10-18T16:04:17,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-34.0,"2024-10-16 14:00:00","0"
10197,52,2024-10-18T16:04:17,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-35.0,"2024-10-16 13:00:00","0"
10198,53,2024-10-18T16:04:17,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-36.0,"2024-10-16 12:00:00","0"
10199,54,2024-10-18T16:04:17,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-37.0,"2024-10-16 11:00:00","0"
10200,55,2024-10-18T16:04:18,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-38.0,"2024-10-16 10:00:00","0"
10201,56,2024-10-18T16:04:18,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-39.0,"2024-10-16 09:00:00","0"
10202,57,2024-10-18T16:04:18,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-40.0,"2024-10-16 08:00:00","0"
10203,58,2024-10-18T16:04:18,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-41.0,"2024-10-16 07:00:00","0"
10204,59,2024-10-18T16:04:18,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-42.0,"2024-10-16 06:00:00","0"
10205,60,2024-10-18T16:04:18,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-43.0,"2024-10-16 05:00:00","0"
10206,61,2024-10-18T16:04:18,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-44.0,"2024-10-16 04:00:00","0"
10207,62,2024-10-18T16:04:18,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-45.0,"2024-10-16 03:00:00","0"
10208,63,2024-10-18T16:04:18,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-46.0,"2024-10-16 02:00:00","0"
10209,64,2024-10-18T16:04:18,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-47.0,"2024-10-16 01:00:00","0"
10210,65,2024-10-18T16:04:18,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-48.0,"2024-10-16 00:00:00","0"
