id,resource_id,ts,pp1,pp2,pp3,,curtain_left,curtain_right,date_threedaysago,date_twodaysago,date_yesterday,door_indoors,NaN_times,pp1,pp2,shade_left,shade_right,Temperature_indoor,Temperature_outdoor,time_since_today,ts,window_door
10948,42,2024-10-18T01:05:13,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-16.0,"2024-10-16 08:00:00","0"
10949,43,2024-10-18T01:05:13,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-17.0,"2024-10-16 07:00:00","0"
10950,44,2024-10-18T01:05:13,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-18.0,"2024-10-16 06:00:00","0"
10951,45,2024-10-18T01:05:13,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-19.0,"2024-10-16 05:00:00","0"
10952,46,2024-10-18T01:05:13,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-20.0,"2024-10-16 04:00:00","0"
10953,47,2024-10-18T01:05:14,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-21.0,"2024-10-16 03:00:00","0"
10954,48,2024-10-18T01:05:14,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-22.0,"2024-10-16 02:00:00","0"
10955,49,2024-10-18T01:05:14,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-23.0,"2024-10-16 01:00:00","0"
10956,50,2024-10-18T01:05:14,,,,,"0","0","14/10","15/10","16/10","0","0","0","0","0","0","0","0",-24.0,"2024-10-16 00:00:00","0"
10957,4,2024-10-18T02:05:19,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
10981,5,2024-10-18T03:04:50,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11005,6,2024-10-18T04:04:58,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11029,7,2024-10-18T05:05:02,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11053,8,2024-10-18T06:04:33,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11077,9,2024-10-18T07:05:32,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11101,10,2024-10-18T08:05:11,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11125,11,2024-10-18T09:04:46,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11149,12,2024-10-18T10:04:57,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11173,13,2024-10-18T11:05:16,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11197,14,2024-10-18T12:04:53,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11221,15,2024-10-18T13:04:38,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11245,16,2024-10-18T14:04:46,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11269,17,2024-10-18T15:04:07,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11293,18,2024-10-18T16:04:15,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-1.0,"2024-10-17 23:00:00","0"
11294,19,2024-10-18T16:04:15,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-2.0,"2024-10-17 22:00:00","0"
11295,20,2024-10-18T16:04:15,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-3.0,"2024-10-17 21:00:00","0"
11296,21,2024-10-18T16:04:15,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-4.0,"2024-10-17 20:00:00","0"
11297,22,2024-10-18T16:04:15,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-5.0,"2024-10-17 19:00:00","0"
11298,23,2024-10-18T16:04:15,,,,,"0","0","15/10","16/10","17/10","0","","0","0","0","0","0","0",-6.0,"2024-10-17 18:00:00","0"
11299,24,2024-10-18T16:04:15,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-7.0,"2024-10-17 17:00:00","0"
11300,25,2024-10-18T16:04:15,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-8.0,"2024-10-17 16:00:00","0"
11301,26,2024-10-18T16:04:15,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-9.0,"2024-10-17 15:00:00","0"
11302,27,2024-10-18T16:04:15,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-10.0,"2024-10-17 14:00:00","0"
11303,28,2024-10-18T16:04:15,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-11.0,"2024-10-17 13:00:00","0"
11304,29,2024-10-18T16:04:15,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-12.0,"2024-10-17 12:00:00","0"
11305,30,2024-10-18T16:04:15,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-13.0,"2024-10-17 11:00:00","0"
11306,31,2024-10-18T16:04:16,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-14.0,"2024-10-17 10:00:00","0"
11307,32,2024-10-18T16:04:16,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-15.0,"2024-10-17 09:00:00","0"
11308,33,2024-10-18T16:04:16,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-16.0,"2024-10-17 08:00:00","0"
11309,34,2024-10-18T16:04:16,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-17.0,"2024-10-17 07:00:00","0"
11310,35,2024-10-18T16:04:16,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-18.0,"2024-10-17 06:00:00","0"
11311,36,2024-10-18T16:04:16,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-19.0,"2024-10-17 05:00:00","0"
11312,37,2024-10-18T16:04:16,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-20.0,"2024-10-17 04:00:00","0"
11313,38,2024-10-18T16:04:16,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-21.0,"2024-10-17 03:00:00","0"
11314,39,2024-10-18T16:04:16,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-22.0,"2024-10-17 02:00:00","0"
11315,40,2024-10-18T16:04:16,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-23.0,"2024-10-17 01:00:00","0"
11316,41,2024-10-18T16:04:16,,,,,"0","0","15/10","16/10","17/10","0","0","0","0","0","0","0","0",-24.0,"2024-10-17 00:00:00","0"
