id,resource_id,ts,pp1,pp2,pp3,,curtain_living,curtain_zithoek,date_threedaysago,date_twodaysago,date_yesterday,NaN_times,pp1,pp2,shade_keuken,shade_living,shade_zithoek,Temperature_indoor,Temperature_outdoor,time_since_today,ts,windowdoor_keuken,windowdoor_zithoek
14646,90,2024-10-18T01:04:53,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-64.0,"2024-10-14 08:00:00",0.0,0.0
14647,91,2024-10-18T01:04:54,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-65.0,"2024-10-14 07:00:00",0.0,0.0
14648,92,2024-10-18T01:04:54,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-66.0,"2024-10-14 06:00:00",0.0,0.0
14649,93,2024-10-18T01:04:54,,,,,0.0,"0","14/10","15/10","16/10","0",14.4,14.4,1,1.0,"0","0","0",-67.0,"2024-10-14 05:00:00",0.0,0.0
14650,94,2024-10-18T01:04:54,,,,,0.0,"0","14/10","15/10","16/10","0",14.4,14.4,1,1.0,"0","0","0",-68.0,"2024-10-14 04:00:00",0.0,0.0
14651,95,2024-10-18T01:04:54,,,,,0.0,"0","14/10","15/10","16/10","0",14.4,14.4,1,1.0,"0","0","0",-69.0,"2024-10-14 03:00:00",0.0,0.0
14652,96,2024-10-18T01:04:54,,,,,0.0,"0","14/10","15/10","16/10","0",14.4,14.4,1,1.0,"0","0","0",-70.0,"2024-10-14 02:00:00",0.0,0.0
14653,97,2024-10-18T01:04:54,,,,,0.0,"0","14/10","15/10","16/10","0",14.4,14.4,1,1.0,"0","0","0",-71.0,"2024-10-14 01:00:00",0.0,0.0
14654,98,2024-10-18T01:04:55,,,,,0.0,"0","14/10","15/10","16/10","0",14.4,14.4,1,1.0,"0","0","0",-72.0,"2024-10-14 00:00:00",0.0,0.0
14655,52,2024-10-18T02:04:58,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14679,53,2024-10-18T03:04:37,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14703,54,2024-10-18T04:04:35,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14727,55,2024-10-18T05:04:37,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14751,56,2024-10-18T06:04:15,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14775,57,2024-10-18T07:05:08,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14799,58,2024-10-18T08:04:58,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14823,59,2024-10-18T09:04:23,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14847,60,2024-10-18T10:04:36,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14871,61,2024-10-18T11:04:49,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14895,62,2024-10-18T12:04:20,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14919,63,2024-10-18T13:04:15,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14943,64,2024-10-18T14:04:20,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14967,65,2024-10-18T15:03:39,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14991,66,2024-10-18T16:03:44,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-49.0,"2024-10-15 23:00:00",1.0,0.0
14992,67,2024-10-18T16:03:44,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-50.0,"2024-10-15 22:00:00",1.0,0.0
14993,68,2024-10-18T16:03:44,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-51.0,"2024-10-15 21:00:00",1.0,0.0
14994,69,2024-10-18T16:03:44,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-52.0,"2024-10-15 20:00:00",1.0,0.0
14995,70,2024-10-18T16:03:45,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-53.0,"2024-10-15 19:00:00",0.0,0.0
14996,71,2024-10-18T16:03:45,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,0,"0","0","0","0",-54.0,"2024-10-15 18:00:00",0.0,0.0
14997,72,2024-10-18T16:03:45,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,0,"0","0","0","0",-55.0,"2024-10-15 17:00:00",0.0,0.0
14998,73,2024-10-18T16:03:45,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-56.0,"2024-10-15 16:00:00",0.0,0.0
14999,74,2024-10-18T16:03:45,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-57.0,"2024-10-15 15:00:00",0.0,0.0
15000,75,2024-10-18T16:03:45,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-58.0,"2024-10-15 14:00:00",0.0,0.0
15001,76,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-59.0,"2024-10-15 13:00:00",0.0,0.0
15002,77,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-60.0,"2024-10-15 12:00:00",0.0,1.0
15003,78,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-61.0,"2024-10-15 11:00:00",0.0,1.0
15004,79,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-62.0,"2024-10-15 10:00:00",0.0,0.0
