id,resource_id,ts,pp1,pp2,pp3,,curtain_living,curtain_zithoek,date_threedaysago,date_twodaysago,date_yesterday,NaN_times,pp1,pp2,shade_keuken,shade_living,shade_zithoek,Temperature_indoor,Temperature_outdoor,time_since_today,ts,windowdoor_keuken,windowdoor_zithoek
14857,1,2024-10-18T16:03:47,,,,,"0","0","15/10","16/10","17/10","","0","0","0","0","0","0","0","0","2024-10-18 23:00:00","0","0"
14858,2,2024-10-18T16:03:47,,,,,"0","0","15/10","16/10","17/10","","0","0","0","0","0","0","0","0","2024-10-18 22:00:00","0","0"
14859,3,2024-10-18T16:03:47,,,,,"0","0","15/10","16/10","17/10","","0","0","0","0","0","0","0","0","2024-10-18 21:00:00","0","0"
14860,4,2024-10-18T16:03:47,,,,,"0","0","15/10","16/10","17/10","","0","0","0","0","0","0","0","0","2024-10-18 20:00:00","0","0"
14861,5,2024-10-18T16:03:47,,,,,"0","0","15/10","16/10","17/10","","0","0","0","0","0","0","0","0","2024-10-18 19:00:00","0","0"
14862,6,2024-10-18T16:03:47,,,,,"0","0","15/10","16/10","17/10","","0","0","0","0","0","0","0","0","2024-10-18 18:00:00","0","0"
14863,7,2024-10-18T16:03:47,,,,,"0","0","15/10","16/10","17/10","","0","0","0","0","0","0","0","0","2024-10-18 17:00:00","0","0"
14864,8,2024-10-18T16:03:47,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",16.0,"2024-10-18 16:00:00",1.0,"0"
14865,9,2024-10-18T16:03:47,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",15.0,"2024-10-18 15:00:00",1.0,"0"
14866,10,2024-10-18T16:03:47,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",14.0,"2024-10-18 14:00:00",1.0,"0"
14867,11,2024-10-18T16:03:48,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",13.0,"2024-10-18 13:00:00",1.0,"0"
14868,12,2024-10-18T16:03:48,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",12.0,"2024-10-18 12:00:00",1.0,"0"
14869,13,2024-10-18T16:03:48,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",11.0,"2024-10-18 11:00:00",1.0,"0"
14870,14,2024-10-18T16:03:48,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",10.0,"2024-10-18 10:00:00",1.0,"0"
14871,15,2024-10-18T16:03:48,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",9.0,"2024-10-18 09:00:00",1.0,"0"
14872,16,2024-10-18T16:03:48,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",8.0,"2024-10-18 08:00:00",1.0,"0"
14873,17,2024-10-18T16:03:48,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",7.0,"2024-10-18 07:00:00",1.0,"0"
14874,18,2024-10-18T16:03:48,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",6.0,"2024-10-18 06:00:00",1.0,"0"
14875,19,2024-10-18T16:03:48,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",5.0,"2024-10-18 05:00:00",1.0,"0"
14876,20,2024-10-18T16:03:48,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",4.0,"2024-10-18 04:00:00",1.0,"0"
14877,21,2024-10-18T16:03:49,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",3.0,"2024-10-18 03:00:00",1.0,"0"
14878,22,2024-10-18T16:03:49,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",2.0,"2024-10-18 02:00:00",1.0,"0"
14879,23,2024-10-18T16:03:49,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",1.0,"2024-10-18 01:00:00",1.0,"0"
14880,24,2024-10-18T16:03:49,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",0.0,"2024-10-18 00:00:00",1.0,"0"
