id,resource_id,ts,pp1,pp2,pp3,,curtain_living,curtain_zithoek,date_threedaysago,date_twodaysago,date_yesterday,NaN_times,pp1,pp2,shade_keuken,shade_living,shade_zithoek,Temperature_indoor,Temperature_outdoor,time_since_today,ts,windowdoor_keuken,windowdoor_zithoek
14650,66,2024-10-18T01:04:51,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-40.0,"2024-10-15 08:00:00",0.0,0.0
14651,67,2024-10-18T01:04:51,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-41.0,"2024-10-15 07:00:00",0.0,0.0
14652,68,2024-10-18T01:04:51,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-42.0,"2024-10-15 06:00:00",0.0,0.0
14653,69,2024-10-18T01:04:51,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-43.0,"2024-10-15 05:00:00",0.0,0.0
14654,70,2024-10-18T01:04:51,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-44.0,"2024-10-15 04:00:00",0.0,0.0
14655,71,2024-10-18T01:04:51,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-45.0,"2024-10-15 03:00:00",0.0,0.0
14656,72,2024-10-18T01:04:51,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-46.0,"2024-10-15 02:00:00",0.0,0.0
14657,73,2024-10-18T01:04:52,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-47.0,"2024-10-15 01:00:00",0.0,0.0
14658,74,2024-10-18T01:04:52,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-48.0,"2024-10-15 00:00:00",0.0,0.0
14659,28,2024-10-18T02:04:56,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-25.0,"2024-10-16 23:00:00",1.0,"0"
14683,29,2024-10-18T03:04:35,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-25.0,"2024-10-16 23:00:00",1.0,"0"
14707,30,2024-10-18T04:04:32,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-25.0,"2024-10-16 23:00:00",1.0,"0"
14731,31,2024-10-18T05:04:35,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-25.0,"2024-10-16 23:00:00",1.0,"0"
14755,32,2024-10-18T06:04:11,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-25.0,"2024-10-16 23:00:00",1.0,"0"
14779,33,2024-10-18T07:05:01,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-25.0,"2024-10-16 23:00:00",1.0,"0"
14803,34,2024-10-18T08:04:55,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-25.0,"2024-10-16 23:00:00",1.0,"0"
14827,35,2024-10-18T09:04:20,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-25.0,"2024-10-16 23:00:00",1.0,"0"
