id,resource_id,ts,pp1,pp2,pp3,,curtain_living,curtain_zithoek,date_threedaysago,date_twodaysago,date_yesterday,NaN_times,pp1,pp2,shade_keuken,shade_living,shade_zithoek,Temperature_indoor,Temperature_outdoor,time_since_today,ts,windowdoor_keuken,windowdoor_zithoek
14694,42,2024-10-18T01:04:48,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-16.0,"2024-10-16 08:00:00",1.0,0.0
14695,43,2024-10-18T01:04:48,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-17.0,"2024-10-16 07:00:00",1.0,0.0
14696,44,2024-10-18T01:04:48,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-18.0,"2024-10-16 06:00:00",1.0,0.0
14697,45,2024-10-18T01:04:48,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-19.0,"2024-10-16 05:00:00",1.0,0.0
14698,46,2024-10-18T01:04:48,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-20.0,"2024-10-16 04:00:00",1.0,0.0
14699,47,2024-10-18T01:04:49,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0",14.4,"0",-21.0,"2024-10-16 03:00:00",1.0,0.0
14700,48,2024-10-18T01:04:49,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0",14.4,"0",-22.0,"2024-10-16 02:00:00",1.0,0.0
14701,49,2024-10-18T01:04:49,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0",14.4,"0",-23.0,"2024-10-16 01:00:00",1.0,0.0
14702,50,2024-10-18T01:04:49,,,,,"0","0","14/10","15/10","16/10","0",14.4,14.4,1,"0","0","0","0",-24.0,"2024-10-16 00:00:00",1.0,0.0
14703,4,2024-10-18T02:04:53,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
14727,5,2024-10-18T03:04:31,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
14751,6,2024-10-18T04:04:30,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
14775,7,2024-10-18T05:04:32,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
14799,8,2024-10-18T06:04:09,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
14823,9,2024-10-18T07:04:58,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
14847,10,2024-10-18T08:04:52,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
14871,11,2024-10-18T09:04:18,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
14895,12,2024-10-18T10:04:31,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
14919,13,2024-10-18T11:04:43,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
14943,14,2024-10-18T12:04:12,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
14967,15,2024-10-18T13:04:10,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
14991,16,2024-10-18T14:04:14,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
15015,17,2024-10-18T15:03:33,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
15039,18,2024-10-18T16:03:37,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-1.0,"2024-10-17 23:00:00",1.0,"0"
15040,19,2024-10-18T16:03:37,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-2.0,"2024-10-17 22:00:00",1.0,"0"
15041,20,2024-10-18T16:03:37,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-3.0,"2024-10-17 21:00:00",1.0,"0"
15042,21,2024-10-18T16:03:37,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-4.0,"2024-10-17 20:00:00",1.0,"0"
15043,22,2024-10-18T16:03:38,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-5.0,"2024-10-17 19:00:00",1.0,"0"
15044,23,2024-10-18T16:03:38,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,1,"0","0","0","0",-6.0,"2024-10-17 18:00:00",1.0,"0"
15045,24,2024-10-18T16:03:38,,,,,"0","0","15/10","16/10","17/10","",14.4,14.4,0,"0","0","0","0",-7.0,"2024-10-17 17:00:00",1.0,"0"
15046,25,2024-10-18T16:03:38,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-8.0,"2024-10-17 16:00:00",1.0,"0"
15047,26,2024-10-18T16:03:38,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-9.0,"2024-10-17 15:00:00",1.0,"0"
15048,27,2024-10-18T16:03:38,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-10.0,"2024-10-17 14:00:00",1.0,"0"
15049,28,2024-10-18T16:03:38,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-11.0,"2024-10-17 13:00:00",1.0,"0"
15050,29,2024-10-18T16:03:38,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-12.0,"2024-10-17 12:00:00",1.0,"0"
15051,30,2024-10-18T16:03:38,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-13.0,"2024-10-17 11:00:00",1.0,"0"
15052,31,2024-10-18T16:03:39,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-14.0,"2024-10-17 10:00:00",1.0,"0"
