id,device_id,ts,activity,pp1,pp2,pp3,,participant,recipient,sender,Temperature
138,3606,2024-08-22T16:37:44,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",25.3125
139,3606,2024-08-22T17:36:13,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.875
140,3606,2024-08-22T18:35:23,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.8125
141,3606,2024-08-22T19:34:10,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",22.8125
142,3606,2024-08-22T20:33:06,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",21.625
143,3606,2024-08-22T21:32:14,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",21.0
144,3606,2024-08-22T23:29:47,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.375
145,3606,2024-08-23T00:28:20,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",19.625
146,3606,2024-08-23T01:27:20,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",19.625
147,3606,2024-08-23T02:26:23,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",19.125
148,3606,2024-08-23T03:25:15,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.625
149,3606,2024-08-23T04:24:24,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.75
150,3606,2024-08-23T05:23:19,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.6875
151,3606,2024-08-23T06:22:20,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.25
152,3606,2024-08-23T07:21:24,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.25
153,3606,2024-08-23T08:24:04,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.75
154,3606,2024-08-23T09:22:06,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.0
155,3606,2024-08-23T10:20:45,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",21.0
156,3606,2024-08-23T11:19:42,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",22.125
157,3606,2024-08-23T13:18:11,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.0
158,3606,2024-08-23T15:15:53,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.5625
159,3606,2024-08-23T16:14:27,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",22.4375
160,3606,2024-08-23T17:15:51,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.3125
161,3606,2024-08-23T18:14:16,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",25.0
162,3606,2024-08-23T19:13:18,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.0625
163,3606,2024-08-23T20:12:25,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",22.1875
164,3606,2024-08-23T21:11:28,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",21.0625
165,3606,2024-08-23T23:11:19,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.8125
166,3606,2024-08-24T01:09:00,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.5625
167,3606,2024-08-24T02:07:58,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.125
168,3606,2024-08-24T03:06:52,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",16.625
169,3606,2024-08-24T04:05:40,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",16.0625
170,3606,2024-08-24T05:04:33,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",16.5625
171,3606,2024-08-24T06:03:36,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.0625
172,3606,2024-08-24T07:02:26,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.5
173,3606,2024-08-24T08:01:34,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.5
174,3606,2024-08-24T09:00:25,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",19.75
175,3606,2024-08-24T09:59:32,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",21.875
176,3606,2024-08-24T10:58:45,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.4375
177,3606,2024-08-24T13:55:16,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",28.375
178,3606,2024-08-24T14:54:28,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",29.5
179,3606,2024-08-24T15:53:43,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",31.5
180,3606,2024-08-24T17:51:54,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",31.0
181,3606,2024-08-24T18:49:19,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.0
182,3606,2024-08-24T20:47:32,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.1875
183,3606,2024-08-24T22:46:39,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",16.875
184,3606,2024-08-24T23:45:39,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",16.6875
185,3606,2024-08-25T00:44:50,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",16.5
186,3606,2024-08-25T01:43:39,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",15.75
187,3606,2024-08-25T02:42:34,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",14.6875
188,3606,2024-08-25T03:41:22,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",14.5
189,3606,2024-08-25T04:40:28,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",14.125
190,3606,2024-08-25T05:39:14,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",13.8125
191,3606,2024-08-25T06:38:13,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",13.375
192,3606,2024-08-25T07:37:16,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",13.5625
193,3606,2024-08-25T08:36:53,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",14.3125
194,3606,2024-08-25T09:35:32,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",15.4375
195,3606,2024-08-25T10:34:47,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",16.6875
196,3606,2024-08-25T11:33:42,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.5625
197,3606,2024-08-25T12:32:43,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.9375
198,3606,2024-08-25T13:31:56,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.125
199,3606,2024-08-25T14:31:20,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.4375
200,3606,2024-08-25T15:30:25,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",22.625
201,3606,2024-08-25T16:29:32,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.125
202,3606,2024-08-25T17:28:35,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.3125
203,3606,2024-08-25T18:27:39,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",22.125
204,3606,2024-08-25T19:27:05,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.375
205,3606,2024-08-25T20:25:44,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.875
206,3606,2024-08-25T21:24:42,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",17.125
207,3606,2024-08-25T22:23:28,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",15.8125
208,3606,2024-08-25T23:22:28,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",14.5625
209,3606,2024-08-26T00:21:11,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",13.375
210,3606,2024-08-26T01:20:02,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",13.0
211,3606,2024-08-26T02:18:44,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",13.25
212,3606,2024-08-26T03:17:40,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",12.5625
213,3606,2024-08-26T04:16:43,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",12.25
214,3606,2024-08-26T05:15:32,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",11.4375
215,3606,2024-08-26T06:14:33,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",11.5
216,3606,2024-08-26T07:13:32,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",11.6875
217,3606,2024-08-26T10:21:43,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.5
218,3606,2024-08-26T11:21:02,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.375
219,3606,2024-08-26T12:20:10,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",19.9375
220,3606,2024-08-26T12:20:16,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",19.9375
221,3606,2024-08-26T13:21:06,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",21.8125
222,3606,2024-08-26T14:19:37,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",22.9375
223,3606,2024-08-26T15:21:16,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.5
224,3606,2024-08-26T16:19:49,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",23.1875
225,3606,2024-08-26T17:18:51,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",24.375
226,3606,2024-08-26T19:17:22,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",22.125
227,3606,2024-08-26T20:16:05,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",19.875
228,3606,2024-08-27T01:47:07,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",13.25
229,3606,2024-08-27T02:46:05,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",12.6875
230,3606,2024-08-27T03:44:58,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",12.25
231,3606,2024-08-27T04:43:48,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",11.5625
232,3606,2024-08-27T05:42:49,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",11.1875
233,3606,2024-08-27T06:41:50,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",10.8125
234,3606,2024-08-27T07:41:29,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",11.375
235,3606,2024-08-27T08:39:44,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",13.5
236,3606,2024-08-27T09:39:03,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",16.3125
237,3606,2024-08-27T10:44:13,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.5
238,3606,2024-08-27T11:39:48,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",21.25
239,3606,2024-08-27T12:38:51,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",21.9375
240,3606,2024-08-27T13:37:46,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",24.25
241,3606,2024-08-27T14:36:33,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",26.125
242,3606,2024-08-27T15:35:38,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",27.5625
243,3606,2024-08-27T16:34:46,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",27.1875
244,3606,2024-08-27T17:34:04,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",28.8125
245,3606,2024-08-27T18:33:14,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",29.375
246,3606,2024-08-27T19:32:04,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",24.3125
247,3606,2024-08-27T20:31:23,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",20.9375
248,3606,2024-08-27T21:29:34,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",18.625
249,3606,2024-08-27T23:27:15,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",16.0625
250,3606,2024-08-28T01:25:05,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",15.1875
251,3606,2024-08-28T02:23:57,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",14.4375
252,3606,2024-08-28T03:23:09,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",13.8125
253,3606,2024-08-28T04:21:54,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",13.5625
254,3606,2024-08-28T05:20:55,,H1,,,,"H1","HH_outdoor_temp","HH1_outdoor",13.3125
